ticker,entry_date,entry_price,current_day,allocated_capital
ICICIBANK.NS-SBIN.NS,2026-09-16,1167.8999938964844,10,50000.0
RELIANCE.NS-HINDUNILVR.NS,2026-09-16,1604.2000122070312,10,50000.0
KOTAKBANK.NS-BAJFINANCE.NS,2026-09-24,693.5,1,50000.0
